bank_code;bank_name;bank_address;bank_brand
054;PT BANK CAPITAL INDONESIA Tbk;Gedung Menara Jamsostek Lt. 1 & 6  Jl. Gatot Subroto No. 38 Jakarta Selatan 12710;CAPITAL
057;PT BANK BNP PARIBAS INDONESIA;Sequis Tower Lt.28  SCBD Lot 11B Jl. Jenderal Sudirman Kav.71 Jakarta 12190;BNP PARIBAS
061;PT BANK ANZ INDONESIA;World Trade Centre 3  Lt.30-31 Jl. Jend. Sudirman Kav.29-31  Karet Kuningan  Setiabudi  Jakarta Selatan 12920;ANZ
945;PT BANK IBK INDONESIA Tbk;Wisma GKBI Suites-UG01 Jl. Jendral Sudirman No. 29  Jakarta;IBK
947;PT BANK NET INDONESIA SYARIAH Tbk;Sona Topas Tower Lt. 1-3  Jl. Jend. Sudirman Kav. 26  Jakarta 12920;NET SYARIAH
949;PT BANK CTBC INDONESIA;Tamara Center Lt. 15-17  Jl. Jend. Sudirman Kav. 24  Jakarta 12920;CTBC
950;PT BANK COMMONWEALTH;World Trade Centre (WTC) 6  Jl. Jend. Sudirman Kav.29-31  Jakarta 12920;COMMONWEALTH
213;PT BANK BTPN Tbk;Menara BTPN - CBD Mega Kuningan  Jl. Dr. Ide Anak Agung Gde Agung Kav. 5 5 - 5 6 Jakarta Selatan 12950;BTPN
405;PT BANK VICTORIA SYARIAH;Gedung The Victoria  Jalan Tomang Raya Kav.3  Jakarta Barat;VICTORIA SYARIAH
422;PT BANK BRISYARIAH Tbk ;Jl. Abdul Muis No. 2-4  Jakarta Pusat;BRI SYARIAH
425;PT BANK JABAR BANTEN SYARIAH;Jl. Braga No. 135 Bandung;BJB SYARIAH
459;PT BANK BISNIS INTERNASIONAL;Jl. Ir. H. Djuanda No. 137  Bandung;BISNIS INT
472;PT BANK JASA JAKARTA;Jl. Tiang Bendera III No. 26-28-30  Jakarta 11230;JASA JKT
490;PT BANK NEO COMMERCE Tbk;Gd. Gozco   Jl. Raya Pasar Minggu Kav.32 Pancoran  Jakarta Selatan;NEO COMM
501;PT BANK DIGITAL BCA;Jl. Suryopranoto No. 52  Jakarta 10130;DIGITAL BCA
503;PT BANK NATIONALNOBU Tbk;Plaza Semanggi Lt. 9  Jl. Jendral Sudirman Kav. 50 Jakarta;NOBU
513;PT BANK INA PERDANA Tbk;Wisma BSG  Jl. Abdul Muis No. 40  Jakarta Pusat;INA PERDANA
517;PT BANK PANIN DUBAI SYARIAH Tbk;Gd.Panin Life Centre Lt. 3  Jl. Letjend S. Parman Kav 91 Jakarta 11420;PANIN DUBAI
520;PT PRIMA MASTER BANK;Jl. Jembatan Merah No. 15-17  Surabaya 60175;MASTER
521;PT BANK SYARIAH BUKOPIN;Jl. Salemba Raya No. 55  Jakarta;SYARIAH BUKOPIN
523;PT BANK SAHABAT SAMPOERNA;Gedung Sampoerna Strategic Square Menara Utara  Lt. Mezzanine Jl. Jend. Sudirman Kav 45 Jakarta;SAHABAT SAMPOERNA
526;PT BANK OKE INDONESIA Tbk;Jl. Ir. H. Juanda No. 12  Jakarta 10120;OKE
531;PT BANK AMAR INDONESIA;Jl. Basuki Rahmad No. 109  Surabaya;AMAR
535;PT BANK KESEJAHTERAAN EKONOMI;Gedung IKP RI  Jl. R.P. Suroso No. 21  Jakarta 10330;KESEJAHTERAAN EKONOMI
536;PT BANK BCA SYARIAH;Jl. Jatinegara Timur No. 72  Jakarta 13310;BCA SYARIAH
542;PT BANK JAGO TBK;Jl. Otto Iskandardinata No. 18  Bandung 40171;JAGO
547;PT BANK BTPN SYARIAH Tbk;Menara BTPN  Lt. 12 CBD Mega Kuningan  Jl. Dr. Ide Anak Agung Gde Agung Kav. 5.5-5.6 Kel. Kuningan Timur  Jakarta Selatan;BTPN SYARIAH
548;PT BANK MULTIARTA SENTOSA;Graha Bank MAS Lt. 3  Jl. Setiabudi Selatan Kav. 7-8  Jakarta Selatan;MULTIARTA
562;PT BANK FAMA INTERNASIONAL;Jl. Asia Afrika No. 115  Bandung;FAMA
564;PT BANK MANDIRI TASPEN​;Graha Mantap  Jl Cikini Raya No.42 Jakarta;MANDIRI TASPEN
566;PT BANK VICTORIA INTERNATIONAL Tbk;Gedung Graha BIP Lt.10 Jl. Gatot Subroto Kav. 23 Karet Semanggi  Setiabudi Jakarta Selatan 12930;VICTORIA
567;PT BANK HARDA INTERNASIONAL Tbk;Asean Tower Lt 1 dan 3  Jl. KH. Samanhudi No. 10  Jakarta Pusat;HARDA
110;PT BPD JAWA BARAT DAN BANTEN Tbk;Jl. Naripan No. 12 - 14  Bandung 40111;BJB
111;PT BPD DKI;Gd. Prasada Sasana Karya Jl. Suryopranoto No. 8  Jakarta Pusat​;DKI
112;PT BPD DAERAH ISTIMEWA YOGYAKARTA;Jl. Tentara Pelajar No. 7  Yogyakarta;DIY
113;PT BPD JAWA TENGAH;Gedung Grinatha Jl. Pemuda No. 142  Semarang  Jawa Tengah 50132;JATENG
114;PT BPD JAWA TIMUR Tbk;Jl. Basuki Rakhmat No. 98-104  Surabaya;JATIM
115;PT BPD JAMBI;Jl. Jend. A. Yani No. 18  Telanaipura  Jambi;JAMBI
116;PT BANK ACEH SYARIAH;Jl. Mr. H. T. Mohd. Hasan Gampong Lancot No. 89 Batoh  Banda Aceh;ACEH SYARIAH
117;PT BPD SUMATERA UTARA;Jl. Imam Bonjol No. 18  Medan 20152;SUMUT
118;PT BPD SUMATERA BARAT;Jl. Pemuda No. 21  Padang 25117;SUMBAR
119;PT BPD RIAU KEPRI;Menara Dang Merdu BRK  Jl. Jend. Sudirman No. 462  Kota ​Pekanbaru;RIAU KEPRI
120;PT BPD SUMATERA SELATAN DAN BANGKA BELITUNG;Jl. Gubernur H. Ahmad Bastari No. 07 Kel. Silaberanti Kec. Seberang Ulu I Jakabaring Palembang;SUMSEL
121;PT BPD LAMPUNG;Jl. Wolter Monginsidi No. 182  Teluk Betung  Bandar Lampung 35215;LAMPUNG
122;PT BPD KALIMANTAN SELATAN;Jl. Lambung Mangkurat No. 7  Banjarmasin 70111;KALSEL
123;PT BPD KALIMANTAN BARAT;Jl. Rahadi Oesman No. 10  Pontianak 78117;KALBAR
124;PT BPD KALIMANTAN TIMUR DAN KALIMANTAN UTARA​;Jl. Jend. Sudirman No. 33  Samarinda;KALTIM
125;PT BPD KALIMANTAN TENGAH;Jl. RTA Milono No. 12  Palangka Raya 73111;KALTENG
126;PT BPD SULAWESI SELATAN DAN SULAWESI BARAT;Jl. Dr. Sam Ratulangi No. 16  Makassar 90125;SULSEL
127;PT BPD SULAWESI UTARA DAN  GORONTALO​;Jl. Sam Ratulangi No. 9  Manado 95111;SULUT
128;PT BANK NTB SYARIAH;Jl. Pejanggik No. 30  Mataram;NTB SYARIAH
129;PT BPD BALI;Jl. Raya Puputan Niti Mandala  Renon  Denpasar;BALI
130;PT BPD NUSA TENGGARA TIMUR;Jl. W.J. Lalamentik No. 102  Kupang  Nusa Tenggara Timur  85000;NTT
131;PT BPD MALUKU DAN MALUKU UTARA;Jl. Raya Pattimura 9  Ambon 97124;MALUT
132;PT BPD PAPUA;Jl. Ahmad Yani 5-7  Jayapura 99111  Kotak Pos 1536;PAPUA
133;PT BPD BENGKULU​;Jl. Basuki Rachmat 6  Bengkulu;BENGKULU
134;PT BPD SULAWESI TENGAH;Jl. St. Hasanuddin No. 20  Palu;SULTENG
